"id","category","title","url","source_role","priority","why_it_matters","tags"
"W3C-A11Y-003","Accessibility","Audio description or media alternative","https://www.w3.org/WAI/WCAG21/Understanding/audio-description-or-media-alternative-prerecorded.html","safety_and_accessibility_authority","high","What important visual information audio description must convey.","audio-description,accessibility"
"W3C-SAFETY-001","Safety","Three flashes or below threshold","https://www.w3.org/WAI/WCAG22/Understanding/three-flashes-or-below-threshold.html","safety_standard","core","Normative safety threshold for flashing content.","flashing,pse,wcag,safety"
"OFCOM-001","Safety","Guidance on flashing images and regular patterns","https://www.ofcom.org.uk/__data/assets/pdf_file/0021/16248/gn_flash.pdf","safety_standard","core","Broadcast guidance for photosensitive-epilepsy risks.","flashing,pse,patterns,ofcom"
"HARDING-001","Safety","HardingFPA","https://www.hardingfpa.com/","safety_reference","high","Industry compliance-testing tool and international guideline coverage.","pse,flash-analysis,broadcast"
"SECTION508-001","Accessibility","Video and synchronized media","https://www.section508.gov/create/synchronized-media/","safety_and_accessibility_authority","high","Practical mapping of caption and audio-description requirements.","section508,captions,audio-description"
"SECTION508-002","Accessibility","Captions and transcripts","https://www.section508.gov/create/captions-transcripts/","safety_and_accessibility_authority","high","Caption readability and auto-caption limitations.","captions,transcripts,accessibility"
"COPYRIGHT-001","Copyright","U.S. Copyright Office Fair Use Index","https://www.copyright.gov/fair-use/","legal_authority","core","Searchable court-decision summaries; fair use is contextual rather than a duration rule.","copyright,fair-use,video-essay"
"COPYRIGHT-002","Copyright","U.S. Copyright Office Fair Use FAQ","https://www.copyright.gov/help/faq/faq-fairuse.html","legal_authority","core","Official reminder that no fixed words, notes, seconds, or percentage guarantees fair use.","copyright,fair-use"
"YOUTUBE-LAW-001","Copyright","Fair use on YouTube","https://support.google.com/youtube/answer/9783148?hl=en","platform_and_legal_reference","core","Platform explanation of fair use and Content ID realities.","youtube,copyright,fair-use"
"VIDEOGRAPHIC-001","Copyright","Fair use for videographic criticism","https://justtv.wordpress.com/2016/01/08/fair-use-for-videographic-criticism/","educational_legal_reference","high","Nuanced application of transformative-use analysis to video essays.","video-essay,fair-use,criticism"
"RESEARCH-TRANS-001","AI editing research","AutoTransition: Learning to Recommend Video Transition Effects","https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136980282.pdf","research_reference","core","Content/audio-aware transition recommendation and dataset design.","transition,recommendation,multimodal,paper"
"RESEARCH-CUTS-001","AI editing research","MovieCuts dataset and cut-type recognition","https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136670659.pdf","research_reference","high","Large multimodal taxonomy of professional cut types.","cuts,dataset,audio-visual,paper"
"RESEARCH-AVE-001","AI editing research","Anatomy of Video Editing dataset","https://joonyoung-cv.github.io/assets/paper/22_eccv_the_anatomy.pdf","research_reference","high","Shot-level cinematographic labels and evaluation tasks.","editing,dataset,cinematography,paper"
"RESEARCH-QUALITY-001","AI editing research","Holistic evaluation for audio-video editing abilities","https://arxiv.org/html/2607.24821v1","research_reference","high","Current multidimensional evaluation ideas spanning visual and audio quality.","evaluation,audio,video,aesthetics,paper"
"RESEARCH-ROUGH-001","Computational editing","Computational video editing for dialogue-driven scenes","https://graphics.stanford.edu/papers/roughcut/files/roughcut-small.pdf","research_reference","boundary_only","Useful idiom representation, but FrameSmith must not use it to take over clip selection or ordering.","computational-editing,idioms,director-control"
"RESEARCH-SOCIAL-001","Computational editing","Automatic editing from multiple social cameras","https://studios.disneyresearch.com/wp-content/uploads/2019/03/Automatic-Editing-of-Footage-from-Multiple-Social-Cameras.pdf","research_reference","boundary_only","Useful constraints and evaluation patterns; structural auto-editing remains outside default authority.","computational-editing,multicam,director-control"
"RESEARCH-CONTINUITY-001","Computational editing","Continuity editing for 3D animation","https://cdn.aaai.org/ojs/9288/9288-13-12816-1-2-20201228.pdf","research_reference","reference","Formalizes continuity rules and camera-transition constraints.","continuity,3d,camera,paper"
"RESEARCH-SHOTDIRECTOR-001","Generative video","ShotDirector","https://arxiv.org/abs/2512.10286","research_reference","reference","Directorially controlled multi-shot transitions and hierarchical cinematographic prompts.","generative-video,transitions,camera-control"
"FCPCAFE-001","FCPXML","Demystifying Final Cut Pro XMLs","https://fcp.cafe/developer-case-studies/fcpxml/","implementation_reference","high","Practical FCPXML ecosystem history and cross-application context.","fcpxml,developer"
"FCPCAFE-002","Final Cut integration","Workflow Extensions","https://fcp.cafe/developers/workflowextensions/","implementation_reference","reference","Developer links and real-world extension references.","final-cut,workflow-extension"
"LOC-001","Codecs","Apple ProRes 422 format description","https://www.loc.gov/preservation/digital/formats/fdd/fdd000389.shtml","technical_reference","reference","Independent preservation-oriented codec characterization.","prores,codec,preservation"
"ART-TITLE-VIDEO-001","Title design","Movies, Myth, Metaphor: title sequences","https://www.youtube.com/watch?v=iRUpPe2oR_Q","craft_authority","high","Karin Fong on title design as narrative and metaphor.","title-design,metaphor,typography"
"SAULBASS-001","Title design","Saul Bass and movie title design","https://www.youtube.com/watch?v=Q_Mo0MqICXI","inspiration_and_craft_reference","high","Visual history of economical, concept-driven title design.","saul-bass,title-design"
